frame,time,id,cls,conf,x1,y1,x2,y2,cx,cy,lane,speed_kmh
143,4.77,56,car,0.37,1833.4,362.7,1916.8,424.8,1875.1,393.7,4,60.3
143,4.77,45,car,0.53,562.8,643.7,620.2,714.8,591.5,679.2,8,84.1
143,4.77,57,car,0.58,1754.7,257.7,1827.8,315.1,1791.3,286.4,2,0.0
144,4.81,40,car,0.52,843.9,247.9,910.0,311.9,876.9,279.9,2,93.2
144,4.81,10,car,0.41,1667.3,682.7,1859.8,740.4,1763.5,711.5,9,80.4
144,4.81,45,car,0.57,577.8,643.6,634.0,711.7,605.9,677.7,8,84.1
144,4.81,57,car,0.47,1737.6,257.9,1812.6,313.9,1775.1,285.9,2,95.3
145,4.84,40,car,0.44,825.9,249.0,894.7,312.9,860.3,281.0,2,92.8
145,4.84,10,car,0.53,1677.9,681.7,1875.2,740.6,1776.5,711.2,9,80.1
145,4.84,45,car,0.45,591.4,643.9,649.4,712.0,620.4,678.0,8,84.2
145,4.84,57,car,0.55,1721.2,256.3,1793.1,313.6,1757.1,284.9,2,100.8
145,4.84,56,car,0.54,1798.1,364.4,1883.8,422.7,1840.9,393.5,4,86.8
146,4.87,40,car,0.53,812.3,249.8,877.1,309.6,844.7,279.7,2,92.8
146,4.87,10,car,0.32,1692.5,682.3,1889.0,741.5,1790.8,711.9,9,80.3
146,4.87,45,car,0.38,606.3,643.3,660.7,709.9,633.5,676.6,8,83.8
146,4.87,57,car,0.52,1705.8,253.9,1776.4,312.6,1741.1,283.3,2,98.7
146,4.87,56,car,0.43,1781.1,362.4,1867.8,423.7,1824.4,393.0,4,89.4
147,4.91,40,car,0.49,797.9,248.5,860.5,315.3,829.2,281.9,2,92.5
147,4.91,10,car,0.44,1706.3,680.6,1903.4,740.9,1804.9,710.8,9,81.4
147,4.91,45,car,0.58,621.0,644.6,677.1,714.0,649.0,679.3,8,84.2
147,4.91,57,car,0.44,1687.3,256.1,1759.3,312.0,1723.3,284.0,2,100.3
148,4.94,40,car,0.45,781.9,250.9,846.7,318.2,814.3,284.5,2,92.8
148,4.94,10,car,0.39,1721.0,683.2,1910.4,740.2,1815.7,711.7,9,79.9
148,4.94,45,car,0.49,634.7,645.5,692.5,713.0,663.6,679.3,8,85.0
148,4.94,57,car,0.55,1669.2,256.7,1742.9,311.4,1706.1,284.1,2,100.5
148,4.94,56,car,0.54,1750.6,360.5,1835.0,424.8,1792.8,392.7,4,90.7
149,4.97,40,car,0.49,765.9,252.2,830.4,311.8,798.1,282.0,2,92.4
149,4.97,10,car,0.32,1728.4,683.7,1917.1,739.5,1822.7,711.6,9,76.6
149,4.97,45,car,0.55,646.2,645.9,707.1,713.6,676.7,679.7,8,84.8
149,4.97,57,car,0.57,1655.2,254.6,1727.1,310.0,1691.1,282.3,2,98.5
149,4.97,56,car,0.39,1732.7,359.8,1818.6,426.1,1775.7,392.9,4,92.2
150,5.01,40,car,0.52,750.7,249.5,814.0,312.7,782.3,281.1,2,93.1
150,5.01,10,car,0.70,1745.0,687.4,1920.0,739.6,1832.5,713.5,9,76.6
150,5.01,45,car,0.35,661.4,646.9,720.3,700.9,690.9,673.9,8,84.5
150,5.01,57,car,0.54,1637.4,255.8,1711.2,312.3,1674.3,284.1,2,98.6
150,5.01,56,car,0.34,1719.1,362.6,1801.0,426.0,1760.1,394.3,4,92.2
151,5.04,40,car,0.46,735.7,250.4,798.0,310.4,766.8,280.4,2,93.4
151,5.04,10,car,0.62,1763.5,692.4,1920.0,741.5,1841.7,716.9,9,75.0
151,5.04,45,car,0.39,678.1,646.0,732.5,705.2,705.3,675.6,8,84.2
151,5.04,57,car,0.56,1621.5,256.4,1694.5,313.3,1658.0,284.8,2,98.3
151,5.04,56,car,0.54,1705.5,365.3,1785.6,425.8,1745.6,395.6,4,91.5
152,5.07,40,car,0.31,718.6,250.7,784.0,309.6,751.3,280.1,2,92.5
152,5.07,10,car,0.62,1778.0,694.6,1920.0,740.5,1849.0,717.6,9,72.0
152,5.07,45,car,0.36,693.8,646.3,748.9,705.7,721.4,676.0,8,84.8
152,5.07,57,car,0.57,1607.1,254.3,1679.1,314.1,1643.1,284.2,2,97.1
153,5.11,40,car,0.41,702.9,250.1,768.0,314.5,735.5,282.3,2,93.0
153,5.11,10,car,0.56,1797.8,695.4,1920.0,739.7,1858.9,717.5,9,68.2
153,5.11,45,car,0.45,707.5,644.7,762.0,707.8,734.8,676.2,8,84.3
153,5.11,57,car,0.55,1590.0,255.8,1664.4,315.6,1627.2,285.7,2,96.8
153,5.11,56,car,0.32,1669.8,362.7,1752.7,424.2,1711.3,393.5,4,93.2
154,5.14,40,car,0.38,689.1,253.5,752.1,313.7,720.6,283.6,2,93.3
154,5.14,10,car,0.50,1801.6,693.4,1920.0,738.7,1860.8,716.0,9,63.2
154,5.14,45,car,0.45,720.0,645.3,779.0,706.2,749.5,675.8,8,84.4
154,5.14,57,car,0.58,1573.2,256.6,1647.1,312.6,1610.2,284.6,2,97.1
154,5.14,56,car,0.53,1655.4,362.8,1737.5,424.2,1696.5,393.5,4,92.7
155,5.17,10,car,0.52,1809.2,691.1,1920.0,739.1,1864.6,715.1,9,58.4
155,5.17,45,car,0.39,732.7,645.7,788.6,707.6,760.7,676.6,8,83.2
155,5.17,57,car,0.56,1559.9,253.7,1630.0,311.6,1595.0,282.6,2,96.5
155,5.17,56,car,0.49,1638.5,361.7,1726.2,424.0,1682.3,392.8,4,92.0
156,5.21,10,car,0.66,1820.8,688.6,1920.0,741.1,1870.4,714.8,9,55.8
156,5.21,45,car,0.47,748.5,645.5,800.1,707.5,774.3,676.5,8,82.9
156,5.21,57,car,0.55,1542.4,254.5,1615.6,313.2,1579.0,283.8,2,96.3
157,5.24,10,car,0.67,1834.6,685.4,1920.0,744.9,1877.3,715.1,9,51.7
157,5.24,57,car,0.55,1527.2,255.6,1599.5,314.1,1563.3,284.9,2,96.1
157,5.24,56,car,0.55,1609.1,364.0,1693.4,424.3,1651.3,394.2,4,92.0
158,5.27,10,car,0.66,1848.9,682.9,1920.0,746.2,1884.5,714.6,9,49.0
158,5.27,57,car,0.59,1512.9,253.9,1583.0,315.6,1548.0,284.8,2,94.9
158,5.27,56,car,0.43,1593.8,364.2,1676.9,424.0,1635.4,394.1,4,92.1
159,5.31,10,car,0.51,1866.4,686.0,1920.0,743.8,1893.2,714.9,9,46.5
159,5.31,57,car,0.55,1495.4,255.3,1568.8,316.8,1532.1,286.0,2,94.9
159,5.31,40,car,0.45,608.7,255.2,673.3,310.8,641.0,283.0,2,92.8
160,5.34,10,car,0.48,1875.9,685.0,1920.0,741.7,1898.0,713.4,9,42.3
160,5.34,57,car,0.58,1479.0,257.2,1551.9,313.4,1515.5,285.3,2,94.3
160,5.34,66,car,0.48,4.5,597.5,76.4,660.4,40.5,628.9,7,0.0
160,5.34,56,car,0.44,1563.2,364.4,1645.8,423.4,1604.5,393.9,4,91.9
161,5.37,57,car,0.57,1465.8,255.9,1535.2,314.5,1500.5,285.2,2,93.3
161,5.37,56,car,0.36,1546.2,363.4,1631.1,425.0,1588.7,394.2,4,93.9
161,5.37,45,car,0.36,814.1,645.5,877.7,720.4,845.9,682.9,8,83.3
162,5.41,57,car,0.55,1448.2,255.8,1518.8,316.0,1483.5,285.9,2,94.2
162,5.41,45,car,0.61,827.9,646.3,893.9,721.4,860.9,683.8,8,83.5
163,5.44,57,car,0.57,1431.3,258.3,1502.9,313.4,1467.1,285.9,2,94.0
163,5.44,45,car,0.34,844.6,644.9,907.8,720.5,876.2,682.7,8,84.3
163,5.44,56,car,0.50,1516.4,362.4,1597.9,425.6,1557.2,394.0,4,93.0
164,5.47,57,car,0.60,1417.3,258.0,1486.7,315.1,1452.0,286.6,2,93.5
